lat,lon,name,admin1,admin2,cc
33.0588931,51.0881056,230,70,4,
32.62883235,51.48091304,231,70,4,
32.6239769,51.3562278,232,70,4,
32.6334121,51.3656199,233,70,4,
33.6916541,52.0076895,234,71,4,
33.6998125,51.9883183,235,71,4,
33.34603105,51.71045971,236,71,4,
33.5136336,51.9140078,237,71,4,
35.7234469,50.3670608,238,72,5,
35.8394861,50.8480555,239,73,5,
-1,-1,240,73,5,
35.9627157,50.7920955,241,73,5,
35.9144669,50.7723122,242,73,5,
35.9641824,50.6858036,243,73,5,
36.177868,50.7655155,244,74,5,
35.722273,50.98889691,245,75,5,
35.7465843,50.9473009,246,75,5,
36.036872,51.1954666,247,76,5,
35.8121955,51.0073853,248,76,5,
35.8598687,50.8663488,249,76,5,
35.7553861,51.0686177,250,76,5,
35.7299002,50.8110899,251,76,5,
35.7598709,50.9187407,252,76,5,
35.8906652,50.6156142,253,77,5,
35.9558897,50.6097443,254,77,5,
32.9897172,47.4223907,255,78,6,
32.898466,47.5728997,256,78,6,
32.7254932,47.6773754,257,78,6,
33.6379365,46.4202743,258,79,6,
33.6967187,46.2967631,259,79,6,
33.8282411,46.3096374,260,80,6,
33.928499,46.1826201,261,80,6,
33.3060497,47.0385999,262,81,6,
33.8619245,46.4518435,263,82,6,
33.6755808,46.7962857,264,82,6,
33.7276558,47.0676741,265,82,6,
33.7675797,46.5654912,266,82,6,
33.7490262,46.6384231,267,82,6,
33.1385109,47.3753599,268,83,6,
32.8862925,47.8538448,269,83,6,
33.0119112,46.8815641,270,84,6,
32.6914932,47.2674712,271,84,6,
32.5209668,47.376702,272,84,6,
33.2280492,46.919563,273,84,6,
33.5673344,46.8139144,274,85,6,
33.3846543,46.5973663,275,86,6,
33.4055827,46.594467,276,86,6,
33.4367192,46.4611802,277,86,6,
33.4694261,46.1888889,278,87,6,
33.1239454,46.1658505,279,87,6,
28.9310786,50.8458443,280,88,7,
28.9880011,51.0357975,281,88,7,
29.24054205,50.31176317,282,88,7,
28.9244728,51.0641358,283,88,7,
29.0246495,51.2523566,284,89,7,
28.8830282,51.2742019,285,89,7,
28.7628729,51.0719232,286,89,7,
28.0322242,52.0649913,287,90,7,
27.8262811,52.3263597,288,90,7,
28.0517466,52.0837191,289,90,7,
29.3604336,51.0713656,290,91,7,
29.2661428,51.2120597,291,91,7,
28.8303842,51.6986659,292,91,7,
29.1544748,51.5293588,293,91,7,
29.4307486,51.2925138,294,91,7,
29.3848355,51.1166292,295,91,7,
